series_id,kpi_type,kind,train_cv,gate_choice,LSTM (H-TRACE)|mae,LSTM (H-TRACE)|rmse,LSTM (H-TRACE)|mape,LSTM (H-TRACE)|smape,LSTM (H-TRACE)|r2,Persistence|mae,Persistence|rmse,Persistence|mape,Persistence|smape,Persistence|r2,Volatility-Gated|mae,Volatility-Gated|rmse,Volatility-Gated|mape,Volatility-Gated|smape,Volatility-Gated|r2
s19,sessions,synthetic,0.09,Persistence,5.493314740829769,11.523516930016104,0.5735221450920617,0.5692067158791824,0.4318221219358347,3.5983537155393046,14.08075932732747,0.3832802054471365,0.3819620105236939,0.15166695760211157,3.5983537155393046,14.08075932732747,0.3832802054471365,0.3819620105236939,0.15166695760211157
s20,sessions,synthetic,0.09,Persistence,5.962533268513199,24.31795792930467,0.7104727635829245,0.6463337357783654,0.09328934509471032,5.010865830628915,32.01635750226214,0.6140366380169934,0.5802888021086681,-0.5716591133625721,5.010865830628915,32.01635750226214,0.6140366380169934,0.5802888021086681,-0.5716591133625721
s21,sessions,synthetic,0.0901,Persistence,11.38569856957414,61.029612197800624,298.71791675889256,1.56343716594644,-0.07115401059719839,9.40709202855621,76.94696147893833,279.0649647616507,1.5347036543816341,-0.7027608147781446,9.40709202855621,76.94696147893833,279.0649647616507,1.5347036543816341,-0.7027608147781446
s22,sessions,synthetic,0.0958,Persistence,8.904470778105566,9.026556711259762,0.898119032057028,0.9022609437433823,-4.857432816420977,0.947727461988397,1.7888959599215921,0.09578773253514972,0.09578997232922958,0.7699441652624851,0.947727461988397,1.7888959599215921,0.09578773253514972,0.09578997232922958,0.7699441652624851
s23,sessions,synthetic,0.0902,Persistence,9.927551241793802,10.009157859600016,1.0550661569241022,1.0494364030581709,-22.445117939042483,0.6762777161684781,1.3057876070565613,0.07192136866683438,0.07189001597363136,0.600972865724213,0.6762777161684781,1.3057876070565613,0.07192136866683438,0.07189001597363136,0.600972865724213
s24,sessions,synthetic,0.0898,Persistence,1.9244961082567735,2.882673240427989,0.19661676673708056,0.19638267949888855,0.628341780213469,1.4289983160179598,2.621570401777115,0.14579106857809462,0.1457672849106225,0.69261975011864,1.4289983160179598,2.621570401777115,0.14579106857809462,0.1457672849106225,0.69261975011864
s25,sessions,synthetic,0.0919,Persistence,4.958863165969451,10.84826962938338,0.5126260721723511,0.5092404283596255,0.25041356069900167,3.3581278316888965,12.331384320912786,0.35268873436373005,0.35115847700906994,0.03144464667581859,3.3581278316888965,12.331384320912786,0.35268873436373005,0.35115847700906994,0.03144464667581859
s26,sessions,synthetic,0.0896,Persistence,1.2197856071644426,2.2492128118575128,0.12402968397513194,0.12383719125982875,0.4641355288589002,0.5087409860456227,2.075377718234017,0.05175170109242445,0.05175413980309483,0.5437654553684008,0.5087409860456227,2.075377718234017,0.05175170109242445,0.05175413980309483,0.5437654553684008
s27,sessions,synthetic,0.0914,Persistence,11.57629249666492,11.726452896978493,1.1610979229308835,1.1542184248800702,-17.620425969937873,0.7465366575616725,1.914315713686986,0.07502600861286235,0.07501121230265342,0.5037695461214059,0.7465366575616725,1.914315713686986,0.07502600861286235,0.07501121230265342,0.5037695461214059
s28,sessions,synthetic,0.0896,Persistence,12.110040236941854,12.370783606859469,1.2210282532116767,1.2288079112725734,-5.263435311932954,1.184871301284734,2.3934862494191735,0.11961139649913734,0.11960545775429711,0.7655339053633918,1.184871301284734,2.3934862494191735,0.11961139649913734,0.11960545775429711,0.7655339053633918
s29,sessions,synthetic,0.0898,Persistence,15.443558360462612,19.386466718786405,1.5805278748433669,1.5823490080502465,-0.9809412911821014,2.865471176772063,18.01784190325505,0.31271805946879827,0.30881154167512714,-0.7111174511679557,2.865471176772063,18.01784190325505,0.31271805946879827,0.30881154167512714,-0.7111174511679557
s30,sessions,synthetic,0.0897,Persistence,13.483017905487339,13.815980485811599,1.365880348844228,1.3757237199685193,-4.988224427756894,1.7415537879662277,2.959041324229948,0.17660076721235515,0.17662649230659322,0.7253138850866365,1.7415537879662277,2.959041324229948,0.17660076721235515,0.17662649230659322,0.7253138850866365
s31,vpn,synthetic,0.3351,LSTM,57.99325518328103,82.94370638320088,191.07803002195774,15.245297315600414,0.6883134489101824,53.15482443064466,81.08975495321268,175.80714094342076,13.816573907604788,0.7020913159248882,57.99325518328103,82.94370638320088,191.07803002195774,15.245297315600414,0.6883134489101824
s32,vpn,synthetic,0.4402,LSTM,47.94792478560479,63.413506019867114,16.651122205216854,15.434102292731499,0.8260240045204295,49.586182177695704,71.76115104367814,15.309550442060873,15.22901818706856,0.7772054350675797,47.94792478560479,63.413506019867114,16.651122205216854,15.434102292731499,0.8260240045204295
s33,vpn,synthetic,0.4802,LSTM,70.29662059214908,94.50769407239703,19.77208146370766,18.592355986245227,0.7453440305116484,73.59914206087016,100.61806826710651,20.1806110725646,19.665086990887175,0.7113500557789001,70.29662059214908,94.50769407239703,19.77208146370766,18.592355986245227,0.7453440305116484
s34,vpn,synthetic,0.6104,LSTM,58.8534716753768,84.55252600485981,36.49979643916635,31.91064057837854,0.5017887227087249,59.47592310421488,94.24857800225564,33.3554114493091,29.81945113785346,0.380972427991932,58.8534716753768,84.55252600485981,36.49979643916635,31.91064057837854,0.5017887227087249
s35,vpn,synthetic,0.3619,LSTM,59.25434683403649,79.02339697464882,15.473598946184671,15.02867464049547,0.706345573687083,60.750256316424256,81.54774079781834,15.376083720345472,15.239371755196181,0.687284772413322,59.25434683403649,79.02339697464882,15.473598946184671,15.02867464049547,0.706345573687083
s36,vpn,synthetic,0.6484,LSTM,34.23115947058855,47.555401673528564,32.731738579372916,27.859340439791936,0.5362366877293421,34.66890093250713,55.518017217431996,29.738107495591965,25.859124141324962,0.3679308772257015,34.23115947058855,47.555401673528564,32.731738579372916,27.859340439791936,0.5362366877293421
s37,vpn,synthetic,0.3653,LSTM,68.78495196543679,91.5511274795565,24.125458130284073,21.718570006448115,0.3943855973774344,69.33805535178848,96.86446869057268,22.88999367780967,21.480325531652745,0.3220497862499624,68.78495196543679,91.5511274795565,24.125458130284073,21.718570006448115,0.3943855973774344
s38,vpn,synthetic,0.524,LSTM,67.88842822533205,90.6628715223607,22.142478311836523,20.445633104250952,0.7305289348434502,64.48771417856749,91.73463271525293,18.78968683283435,18.42298807549556,0.72412023224803,67.88842822533205,90.6628715223607,22.142478311836523,20.445633104250952,0.7305289348434502
s39,vpn,synthetic,0.5381,LSTM,47.94830696866154,67.46259973731321,23.5325925692483,23.094357716446027,0.6012945229434588,47.0647052605663,70.76526336171246,22.757898954276758,21.75341715837986,0.5613013378871391,47.94830696866154,67.46259973731321,23.5325925692483,23.094357716446027,0.6012945229434588
s40,vpn,synthetic,0.1444,Persistence,34.281447562610275,46.4202671456047,5.627355409047374,5.64107435112473,0.5739928938074392,27.782505375317783,38.647923714143715,4.516215490899475,4.533687282676725,0.7047064865585775,27.782505375317783,38.647923714143715,4.516215490899475,4.533687282676725,0.7047064865585775
s41,downstream,synthetic,0.4772,LSTM,38.746029883091424,66.69685040346846,249.62375096021555,12.782977922756139,0.8376284941629925,58.63697780140958,86.62230363302096,312.79695564769906,20.99499715257226,0.7261210684744106,38.746029883091424,66.69685040346846,249.62375096021555,12.782977922756139,0.8376284941629925
s42,downstream,synthetic,0.4693,LSTM,32.979313477902615,45.297578344646354,9.707171250176346,9.11083828920851,0.9199521027570616,53.42271735589417,67.29170628841291,19.17565602783467,18.36625443803965,0.8233461773043232,32.979313477902615,45.297578344646354,9.707171250176346,9.11083828920851,0.9199521027570616
s43,downstream,synthetic,0.4378,LSTM,22.60218862379088,30.894898394455254,9.732536141402154,9.205283517061247,0.9124088432962418,34.863366644480074,43.78380862556517,15.990194006487227,15.416944976447342,0.824080576646932,22.60218862379088,30.894898394455254,9.732536141402154,9.205283517061247,0.9124088432962418
s44,downstream,synthetic,0.4059,LSTM,29.668377260055625,40.71506253705463,6.715490858482492,6.556325174760633,0.9480845977906298,60.43063583239244,75.92448223524768,15.482280968935273,14.951414244312453,0.8194698726489575,29.668377260055625,40.71506253705463,6.715490858482492,6.556325174760633,0.9480845977906298
s45,downstream,synthetic,0.445,LSTM,30.36477320941508,41.55141195676478,8.071256458276432,7.889387029959667,0.942149211674479,59.605498039520334,76.27296515794954,17.141146609558806,16.431741872708496,0.8050698712956883,30.36477320941508,41.55141195676478,8.071256458276432,7.889387029959667,0.942149211674479
s46,downstream,synthetic,0.491,LSTM,29.1739646920364,43.082502501925234,8.53518349878125,8.134982171636342,0.9440782991960394,57.820803476664054,75.32906805405102,20.11065348379349,19.0309650442085,0.8290363753688859,29.1739646920364,43.082502501925234,8.53518349878125,8.134982171636342,0.9440782991960394
s47,downstream,synthetic,0.4897,LSTM,33.32830228043461,46.84826731701544,9.66761833703469,9.012271050957912,0.9402667678600722,60.268633587429676,77.56686844028009,20.00126160256872,18.905976748930556,0.8362499409870187,33.32830228043461,46.84826731701544,9.66761833703469,9.012271050957912,0.9402667678600722
s48,downstream,synthetic,0.4669,LSTM,27.757027776848318,40.23483777904485,7.124824538774133,6.940491775901847,0.950865867657046,61.196901699053015,78.40224242612457,18.136028869284047,17.255993472883965,0.8134326036826547,27.757027776848318,40.23483777904485,7.124824538774133,6.940491775901847,0.950865867657046
s49,downstream,synthetic,0.4776,LSTM,27.140201624800376,38.80744944738069,6.8422048490559595,6.867744200452789,0.9607753008666862,65.64663884031918,80.29864356886459,19.474640979011422,18.72964082353278,0.8320632135760915,27.140201624800376,38.80744944738069,6.8422048490559595,6.867744200452789,0.9607753008666862
s50,downstream,synthetic,0.4417,LSTM,29.047202577222034,42.66840215268542,6.994600729067154,6.78752244662326,0.9466469845781895,59.62998129936386,76.27202608282877,16.795324084826817,16.01600809245015,0.8295186888387905,29.047202577222034,42.66840215268542,6.994600729067154,6.78752244662326,0.9466469845781895
